"MU","Micron Technology",19.549,19.39,19.83,19.22,19.19,41190148,20.563B
"MXIM","Maxim Integrated ",29.22,29.49,29.59,29.19,29.37,1138281,8.257B
"MYL","Mylan Inc.",42.35,42.00,42.365,41.80,41.975,2684330,16.183B
"NFLX","Netflix, Inc.",348.76,344.30,349.20,343.08,342.57,2255543,20.666B
"NTAP","NetApp, Inc.",41.47,41.12,41.50,40.65,41.07,2951714,14.104B
"NUAN","Nuance Communicat",16.29,16.20,16.34,16.08,16.00,4768956,5.055B
"NVDA","NVIDIA Corporatio",16.24,16.28,16.30,16.01,16.22,3871826,9.396B
"ORLY","O'Reilly Automoti",125.91,125.47,126.21,125.08,125.62,435762,13.556B
"PAYX","Paychex, Inc.",43.3234,43.19,43.35,42.78,43.12,1472516,15.822B
"PCAR","PACCAR Inc.",57.02,57.20,57.21,56.84,57.00,623446,20.191B
"PCLN","priceline.com Inc",1140.335,1143.11,1144.76,1131.10,1137.4399,552407,58.226B
"QCOM","QUALCOMM Incorpor",72.06,71.10,72.17,71.10,71.22,9359772,121.4B
"REGN","Regeneron Pharmac",280.3363,288.52,290.49,276.2922,288.83,694671,27.389B
"ROST","Ross Stores, Inc.",81.41,81.29,81.47,80.23,81.089,1143750,17.640B
"SBAC","SBA Communication",90.09,89.38,90.55,89.22,89.40,1402658,11.544B
"SBUX","Starbucks Corpora",81.1671,81.10,81.45,80.78,81.14,2323695,61.135B
"SHLD","Sears Holdings Co",64.715,64.68,65.70,63.60,63.68,733380,6.890B
"SIAL","Sigma-Aldrich Cor",86.76,86.46,86.94,85.99,86.00,375661,10.382B
"SIRI","Sirius XM Holding",3.86,3.745,3.88,3.73,3.735,52960396,23.683B
"SNDK","SanDisk Corporati",69.87,70.39,70.53,69.31,70.16,2055292,15.783B
"SPLS","Staples, Inc.",15.59,15.72,15.88,15.47,15.749,9036263,10.297B
"SRCL","Stericycle, Inc.",118.93,118.10,118.93,117.47,117.87,204183,10.395B
"STX","Seagate Technolog",48.80,50.10,50.22,48.43,50.105,2988457,15.916B
"SYMC","Symantec Corporat",23.49,23.47,23.69,23.43,23.49,7805450,16.350B
"TSLA","Tesla Motors, Inc",135.28,136.68,137.95,134.35,137.60,7537639,16.430B
"TXN","Texas Instruments",42.585,42.65,42.74,42.29,42.63,3133175,46.612B
"VIAB","Viacom Inc.",80.02,81.12,81.55,80.015,80.80,3465669,38.164B
"VIP","VimpelCom Ltd.",12.40,12.39,12.4799,12.27,12.47,1831744,21.080B
"VOD","Vodafone Group Pl",37.30,37.57,37.60,37.14,37.16,8640346,181.3B
"VRSK","Verisk Analytics,",64.08,63.82,64.16,63.31,63.67,483567,10.760B
"VRTX","Vertex Pharmaceut",63.07,60.97,63.29,60.87,61.03,2102210,14.733B
"WDC","Western Digital C",75.49,75.87,76.10,73.52,75.85,1899473,17.840B
"WFM","Whole Foods Marke",58.91,59.36,59.47,58.80,59.27,1337303,21.938B
"WYNN","Wynn Resorts, Lim",166.44,168.51,169.66,165.60,168.51,826889,16.758B
"XLNX","Xilinx, Inc.",43.72,43.22,43.77,42.84,42.99,3138559,11.731B
"XRAY","DENTSPLY Internat",48.75,48.77,48.97,48.35,48.55,460303,6.943B
"YHOO","Yahoo Inc.",35.475,35.82,35.94,35.30,35.69,11666164,36.954B
